match_id,radiant_win,duration,avg_mmr,avg_rank_tier,radiant_team,dire_team
6989462018,False,1407,2721.0,81,"67,111,98,101,35","46,32,14,74,92"
6989462416,False,932,4392.0,81,"106,95,32,9,110","104,86,10,31,114"
6989462811,True,2697,,81,"71,22,49,89,83","9,52,81,32,40"
6989468202,False,2365,5670.0,81,"51,62,80,19,69","9,137,86,32,13"
6989469604,True,1879,2037.0,81,"106,86,129,31,70","53,8,80,105,32"
6989469814,True,1672,4726.0,81,"84,19,61,25,62","71,74,32,9,70"
6989471911,False,1738,4085.0,81,"7,57,52,25,53","74,19,5,43,70"
6989472511,False,3650,3684.0,81,"30,69,41,13,128","42,40,68,15,17"
6989472709,True,1829,2994.0,81,"32,120,92,6,19","75,93,129,22,137"
6989474114,False,1609,3291.0,81,"46,85,74,135,45","9,61,41,103,120"
6989475609,True,3023,3803.0,81,"14,51,77,114,32","12,43,47,5,86"
6989479005,False,2160,4676.0,81,"62,15,39,55,28","19,80,9,51,76"
6989479118,True,2134,4670.0,81,"87,114,22,23,43","31,44,76,39,9"
6989479700,True,1421,5267.0,81,"74,77,101,93,119","4,23,53,91,70"
6989483604,True,2334,4299.0,81,"37,53,100,40,137","129,93,59,102,86"
6989484314,True,2622,4762.0,81,"85,119,53,86,39","67,61,21,25,62"
6989487211,False,2159,2933.0,81,"123,77,31,8,35","52,93,128,105,7"
6989488316,True,2653,3797.0,81,"89,120,7,65,83","27,11,97,19,107"
6989492305,True,1411,4604.0,81,"111,38,105,19,70","93,128,13,26,15"
6988493417,False,1988,5688.0,81,"10,85,76,7,53","14,52,11,109,68"
6988493613,True,2237,5442.0,81,"9,52,32,15,67","100,55,59,25,51"
6988493710,False,1653,5678.0,81,"85,135,65,25,72","83,123,61,13,89"
6988494806,True,3110,4328.0,81,"69,64,114,100,120","15,32,10,137,11"
6988496504,False,4704,5692.0,81,"120,10,86,32,76","83,135,90,22,114"
6988500005,True,2010,6134.0,81,"123,92,25,53,85","136,11,71,75,35"
6988500413,True,1203,4789.0,81,"19,75,137,43,113","53,27,62,10,129"
6988500819,False,2027,,81,"51,9,4,106,62","75,77,65,109,123"
6988502604,True,1713,,81,"43,85,113,5,14","101,75,106,93,55"
6988502808,False,1783,5027.0,81,"41,104,22,32,75","9,129,5,67,73"
6988505014,False,1336,4272.0,81,"9,55,1,120,110","123,66,128,25,78"
6988507812,True,2100,5459.0,81,"107,52,81,61,119","104,86,106,75,136"
6988507813,True,1926,6003.0,81,"32,19,95,83,61","62,137,70,69,27"
6988508511,False,1731,6017.0,81,"57,71,11,54,137","86,80,106,83,49"
6988508808,True,2159,4354.0,81,"119,74,96,25,32","22,77,12,105,100"
6988511805,False,1716,5933.0,81,"137,81,6,45,88","51,25,12,76,135"
6988512014,True,2455,4038.0,81,"19,73,63,53,64","10,81,75,22,135"
6988513400,True,2027,4464.0,81,"96,25,101,47,19","69,14,128,37,67"
6988513717,False,2972,3477.0,81,"85,107,120,40,32","74,16,105,4,9"
6988515706,True,1441,4099.0,81,"5,110,43,120,25","22,96,128,35,83"
6988515817,False,2810,6017.0,81,"136,75,41,123,100","55,9,129,32,106"
6988518211,False,1601,5462.0,81,"39,56,137,97,123","69,65,5,7,93"
6988519602,False,1638,5172.0,81,"14,35,83,43,76","70,69,77,75,79"
6988520410,True,1550,5450.0,81,"114,36,90,106,5","81,92,11,136,9"
6988520903,True,1996,5147.0,81,"75,46,100,47,19","136,106,123,51,120"
6988523514,False,2246,4817.0,81,"51,25,45,43,86","9,97,109,83,23"
6988524602,True,2015,3887.0,81,"39,57,93,69,32","98,85,18,75,74"
6988526012,True,3857,5410.0,81,"69,75,114,14,19","85,43,89,123,61"
6988526717,False,2809,5070.0,81,"50,100,93,61,9","106,89,84,86,104"
6988530817,True,2165,7516.0,81,"7,120,65,32,93","4,137,100,91,128"
6988531716,True,1643,,81,"10,33,83,106,100","13,97,119,25,14"
6988532306,True,3295,5562.0,81,"97,87,70,123,137","105,48,136,21,76"
6988532607,True,2780,,81,"75,77,21,62,34","76,85,69,32,53"
6988535219,True,1976,,81,"31,9,65,35,19","53,13,14,129,110"
6988535305,False,1581,3533.0,81,"4,106,9,100,135","128,61,123,38,14"
6988537006,False,3056,4448.0,81,"39,71,44,123,5","36,105,32,34,137"
6988537605,True,2514,5756.0,81,"91,5,26,137,1","62,98,70,55,123"
6988539302,True,2993,6472.0,81,"128,5,76,43,25","106,113,110,97,96"
6988540012,False,1903,3992.0,81,"87,81,74,112,137","128,38,83,65,70"
6988541516,False,2663,5397.0,81,"53,98,137,58,105","32,8,43,75,23"
6988541807,True,2210,3051.0,81,"94,53,100,51,123","28,85,72,46,67"
6988542007,False,2390,,81,"100,61,86,6,20","120,14,8,9,32"
6988542218,False,2744,3976.0,81,"32,31,113,44,77","10,137,53,14,86"
6988545301,True,2338,5861.0,81,"87,69,49,32,70","86,67,110,14,120"
6988546013,False,1623,3192.0,81,"100,113,67,101,120","36,32,21,4,128"
6988546308,True,1803,4498.0,81,"93,50,65,66,123","121,35,11,49,85"
6988547611,False,1845,4781.0,81,"91,61,71,86,25","32,14,2,55,123"
6988549404,False,2033,4201.0,81,"19,114,76,86,135","10,43,128,32,65"
6988549614,False,2178,3969.0,81,"87,137,83,8,98","21,90,26,100,93"
6988549616,True,1591,3133.0,81,"9,44,135,96,5","35,53,80,1,86"
6988550418,True,2236,3173.0,81,"41,101,52,61,75","85,12,119,43,120"
6988551807,True,3089,3257.0,81,"100,11,128,69,25","50,14,52,29,70"
6988553219,False,1675,,81,"41,30,39,137,9","83,129,19,114,80"
6988554708,True,3662,4697.0,81,"72,83,76,70,15","65,112,32,10,22"
6988557206,True,1675,4747.0,81,"61,7,106,25,102","6,120,52,69,137"
6988561013,False,2583,4157.0,81,"67,14,83,104,76","25,98,5,11,120"
6988561501,True,2718,,81,"100,135,25,67,64","6,59,63,32,5"
6988563012,True,2747,4858.0,81,"120,59,25,86,92","46,136,57,19,128"
6988563217,True,2849,5220.0,81,"86,137,14,135,35","128,85,8,30,46"
6988563605,False,2052,5495.0,81,"9,69,104,1,51","41,7,114,75,90"
6988564509,False,2554,5426.0,81,"46,120,86,71,110","101,135,79,39,65"
6988566006,False,916,2805.0,81,"19,9,93,75,84","53,112,80,25,85"
6988566008,True,1750,,81,"12,120,35,51,128","32,136,135,11,65"
6988570413,False,2466,,81,"98,97,80,84,81","19,30,44,59,96"
6988570709,True,1796,6165.0,81,"100,53,93,9,83","120,67,128,129,19"
6988570909,False,2682,5678.0,81,"5,100,104,54,74","58,96,119,46,52"
6988570913,False,2611,7638.0,81,"101,71,53,45,70","3,41,15,110,106"
6988572006,True,2316,2880.0,81,"93,28,31,32,13","41,83,65,19,63"
6988574111,False,2796,3364.0,81,"74,93,5,101,61","79,36,89,129,135"
6988574212,True,1098,5241.0,81,"4,106,135,62,27","98,100,11,86,14"
